"","neuro$prolificID","X4","X9","X14","X19","X24","X29","X34","X39","total"
"227","5c0161ba6a691b0001180d78",1,4,4,4,1,3,3,3,23
"228","5c027a6dc776820001bd652f",5,5,4,5,5,4,5,5,38
"229","5c027a6dc776820001bd652f",5,2,4,5,5,4,5,5,35
"230","5c027a6dc776820001bd652f",2,5,4,5,5,4,5,4,34
"231","5c027a6dc776820001bd652f",2,2,4,5,5,4,5,4,31
"232","5c03c8b3d30e3200016db54a",1,1,3,2,1,4,2,1,15
"233","5c06bca796378a00011949ee",4,3,4,5,2,4,2,4,28
"234","5c06c3b6b65da90001a8dd22",4,5,4,5,5,4,4,4,35
"235","5c0ad2c96056090001eefca1",4,2,4,5,2,5,1,1,24
"236","5c0d5df702c7dd000145ae20",2,2,2,2,2,4,2,4,20
"237","5c0e55c7427e7b00013b7cb0",1,1,2,2,1,2,1,1,11
"238","5c0e8dcf1d3b190001080715",2,4,4,4,2,4,3,4,27
"239","5c0fd5f12a1a620001f03201",3,2,4,4,3,4,2,4,26
"240","5c11c07a7dbc3e0001c415f4",4,1,3,4,3,4,1,4,24
"241","5c2e5988d04ba40001d26efc",3,3,3,4,2,4,3,4,26
"242","5c2f50ed867f660001b00ead",2,3,3,4,2,4,2,2,22
"243","5c30814c0091e40001cbfc4a",4,5,4,4,5,4,5,4,35
"244","5c33b131d8112b00019a5ecf",4,4,4,4,4,4,3,4,31
"245","5c3723564f2e52000177698d",4,4,5,5,2,5,4,5,34
"246","5c38b79c0ab537000169df8e",5,4,5,5,4,4,4,5,36
"247","5c3b9c1b688b59000102f371",3,2,4,3,2,4,2,3,23
"248","5c3e562ebff5620001e34dd5",1,4,4,4,3,4,3,2,25
"249","5c3e5c4fc21f060001c43a9b",2,1,1,1,1,2,2,1,11
"250","5c3f4c32f439240001810fcf",2,1,2,2,5,3,1,2,18
"251","5c45ca39d01d7a0001064c69",3,4,5,5,5,4,2,4,32
"252","5c47188c51c26300012cbd38",4,5,4,5,3,4,3,4,32
"253","5c4770eb7379d8000112a4d2",1,2,3,2,2,3,2,3,18
"254","5c4b85a1dccaa800016b4821",4,3,4,4,3,4,2,2,26
"255","5c4b85a1dccaa800016b4821",4,3,4,4,3,4,2,2,26
"256","5c4b85a1dccaa800016b4821",4,3,4,4,3,4,2,2,26
"257","5c4b85a1dccaa800016b4821",4,3,4,4,3,4,2,2,26
"258","5c4f21132090bd0001c42a48",4,2,2,2,2,4,2,2,20
"259","5c4f91d9b7b37900011b6dfe",4,4,4,5,4,4,3,5,33
"260","5c541bd1179da1000166dde7",1,4,2,2,4,3,3,2,21
"261","5c54ba557f5e0c000143ef22",4,2,4,4,5,4,2,4,29
"262","5c56625bd3cc6b0001d9b554",1,1,2,3,1,3,2,3,16
"263","5c579b1191c0ad0001cfd373",1,1,2,1,1,2,1,2,11
"264","5c579b1191c0ad0001cfd373",1,2,2,1,1,2,1,2,12
"265","5c579b1191c0ad0001cfd373",1,1,2,2,1,3,1,2,13
"266","5c579b1191c0ad0001cfd373",1,2,2,2,1,3,1,2,14
"267","5c586d6c40378900013b74c7",2,4,4,4,4,5,3,2,28
"268","5c59af746d475e00012928d9",1,1,2,2,1,2,1,5,15
"269","5c5b31c415f6c30001de2df5",4,2,2,2,4,4,2,3,23
"270","5c6186760a6eb100012ab95f",3,3,3,4,3,4,3,3,26
"271","5c6474a0f101ae000107fc9f",3,2,2,4,2,4,1,2,20
"272","5c698655a2cfdc0001b6d566 ",1,3,2,2,2,1,2,4,17
"273","5c79b2cbcad0dc0017e57bb8",2,2,3,2,5,4,1,2,21
"274","5c7bdeba628ace00145e29a7",4,2,4,5,4,5,2,5,31
"275","5c7ee8fb571d310016278b17",2,3,2,2,1,2,2,1,15
"276","5c7f087e7ce06e0012d9eadc",4,4,4,5,5,5,3,3,33
"277","5c7fdc9378402100172fb4de",3,2,4,4,3,5,1,2,24
"278","5c86939f0ed0dd0015419ec8",4,3,4,2,3,3,2,2,23
"279","5c92f797803bff0017fef8dd",5,4,4,5,4,5,1,4,32
"280","jls@allenstps.com",1,2,3,2,1,4,2,3,18
